cal_S_function with E_thr = 5.0 MeV
T[MeV]	cal_S	cal_S_error
4.260	1.8834841798e-08	7.8924622180e-15
4.270	1.9060808764e-08	7.9063756483e-15
4.280	1.9288877198e-08	7.9203431296e-15
4.290	1.9519060971e-08	7.9343658038e-15
4.300	1.9751374009e-08	7.9484448276e-15
4.310	1.9985830288e-08	7.9625813584e-15
4.320	2.0222443833e-08	7.9767765989e-15
4.330	2.0461228724e-08	7.9910317324e-15
4.340	2.0702199090e-08	8.0053479712e-15
4.350	2.0945369110e-08	8.0197265143e-15
4.360	2.1190753017e-08	8.0341686263e-15
4.370	2.1438365092e-08	8.0486755231e-15
4.380	2.1688219667e-08	8.0632484749e-15
4.390	2.1940331127e-08	8.0778887423e-15
4.400	2.2194713905e-08	8.0925976110e-15
4.410	2.2451382487e-08	8.1073763529e-15
4.420	2.2710351407e-08	8.1222262928e-15
4.430	2.2971635252e-08	8.1371487424e-15
4.440	2.3235248657e-08	8.1521450189e-15
4.450	2.3501206309e-08	8.1672164792e-15
4.460	2.3769522943e-08	8.1823459376e-15
4.470	2.4040213348e-08	8.1974904357e-15
4.480	2.4313292358e-08	8.2127115113e-15
4.490	2.4588774861e-08	8.2280105152e-15
4.500	2.4866675792e-08	8.2433887808e-15
4.510	2.5147010138e-08	8.2588476398e-15
4.520	2.5429792934e-08	8.2743884704e-15
4.530	2.5715039265e-08	8.2900126545e-15
4.540	2.6002764265e-08	8.3057215726e-15
4.550	2.6292983118e-08	8.3215166121e-15
4.560	2.6585711056e-08	8.3373992000e-15
4.570	2.6880963362e-08	8.3533707456e-15
4.580	2.7178755365e-08	8.3694326866e-15
4.590	2.7479102447e-08	8.3855864701e-15
4.600	2.7782020034e-08	8.4018335605e-15
4.610	2.8087523604e-08	8.4181754285e-15
4.620	2.8395628681e-08	8.4346135664e-15
4.630	2.8706350841e-08	8.4511477924e-15
4.640	2.9019705703e-08	8.4677114153e-15
4.650	2.9335708939e-08	8.4843760974e-15
4.660	2.9654376266e-08	8.5011433422e-15
4.670	2.9975723450e-08	8.5180147165e-15
4.680	3.0299766303e-08	8.5349917722e-15
4.690	3.0626520687e-08	8.5520760893e-15
4.700	3.0956002510e-08	8.5692692770e-15
4.710	3.1288227728e-08	8.5865729260e-15
4.720	3.1623212342e-08	8.6039886773e-15
4.730	3.1960972402e-08	8.6215181932e-15
4.740	3.2301524004e-08	8.6391631336e-15
4.750	3.2644883291e-08	8.6569251821e-15
4.760	3.2991066453e-08	8.6748060727e-15
4.770	3.3340089725e-08	8.6928075288e-15
4.780	3.3691969389e-08	8.7109313220e-15
4.790	3.4046721773e-08	8.7291792609e-15
4.800	3.4404363250e-08	8.7475531873e-15
4.810	3.4764910240e-08	8.7660549518e-15
4.820	3.5128379207e-08	8.7846802016e-15
4.830	3.5494786661e-08	8.8034139520e-15
4.840	3.5864149158e-08	8.8222804969e-15
4.850	3.6236483298e-08	8.8412820565e-15
4.860	3.6611805726e-08	8.8604211410e-15
4.870	3.6990133131e-08	8.8797009584e-15
4.880	3.7371482248e-08	8.8991308914e-15
4.890	3.7755869855e-08	8.9187159698e-15
4.900	3.8143312774e-08	8.9384477013e-15
4.910	3.8533827871e-08	8.9583261567e-15
4.920	3.8927432057e-08	8.9783523382e-15
4.930	3.9324142284e-08	8.9985275793e-15
4.940	3.9723975549e-08	9.0188534372e-15
4.950	4.0126948893e-08	9.0393315592e-15
4.960	4.0533079397e-08	9.0599636664e-15
4.970	4.0942384186e-08	9.0807515607e-15
4.980	4.1354880430e-08	9.1016971014e-15
4.990	4.1770585337e-08	9.1228021466e-15
5.000	4.2189516160e-08	9.1440686542e-15
5.010	4.2611690192e-08	9.1654985790e-15
5.020	4.3037124770e-08	9.1870939302e-15
5.030	4.3465837270e-08	9.2088567320e-15
5.040	4.3897845110e-08	9.2307890549e-15
5.050	4.4333165750e-08	9.2528930135e-15
5.060	4.4771816689e-08	9.2751706944e-15
5.070	4.5213815469e-08	9.2976243014e-15
5.080	4.5659179668e-08	9.3202560183e-15
