cal_S_function with E_thr = 15.0 MeV
T[MeV]	cal_S	cal_S_error
5.460	8.4171397160e-07	3.2671891520e-14
5.470	8.5236863570e-07	3.3171252928e-14
5.480	8.6312922754e-07	3.3676954198e-14
5.490	8.7399648168e-07	3.4189092240e-14
5.500	8.8497113502e-07	3.4707766744e-14
5.510	8.9605392671e-07	3.5233080074e-14
5.520	9.0724559817e-07	3.5765137869e-14
5.530	9.1854689312e-07	3.6304049351e-14
5.540	9.2995855746e-07	3.6849927128e-14
5.550	9.4148133939e-07	3.7402886848e-14
5.560	9.5311598930e-07	3.7963048595e-14
5.570	9.6486325977e-07	3.8530535421e-14
5.580	9.7672390561e-07	3.9105443134e-14
5.590	9.8869868380e-07	3.9687929960e-14
5.600	1.0007883535e-06	4.0278137527e-14
5.610	1.0129936760e-06	4.0876206189e-14
5.620	1.0253154147e-06	4.1482281903e-14
5.630	1.0377543352e-06	4.2096514616e-14
5.640	1.0503112053e-06	4.2719061184e-14
5.650	1.0629867946e-06	4.3350081958e-14
5.660	1.0757818752e-06	4.3989745039e-14
5.670	1.0886972209e-06	4.4638223523e-14
5.680	1.1017336077e-06	4.5295696242e-14
5.690	1.1148918138e-06	4.5962350427e-14
5.700	1.1281726191e-06	4.6638379542e-14
5.710	1.1415768060e-06	4.7323983639e-14
5.720	1.1551051584e-06	4.8019371618e-14
5.730	1.1687584624e-06	4.8724760031e-14
5.740	1.1825375062e-06	4.9440373792e-14
5.750	1.1964430798e-06	5.0166447486e-14
5.760	1.2104759753e-06	5.0903225675e-14
5.770	1.2246369864e-06	5.1650961454e-14
5.780	1.2389269091e-06	5.2409920385e-14
5.790	1.2533465412e-06	5.3179839806e-14
5.800	1.2678966822e-06	5.3956905069e-14
5.810	1.2825781336e-06	5.4745741319e-14
5.820	1.2973916989e-06	5.5545326444e-14
5.830	1.3123381833e-06	5.6343235596e-14
