cal_S_function with E_thr = 10.0 MeV
T[MeV]	cal_S	cal_S_error
3.940	6.1429940031e-49	1.3382084857e-56
3.950	6.2467071640e-49	1.3446574622e-56
3.960	6.3518694154e-49	1.3511917102e-56
3.970	6.4584967931e-49	1.3578125955e-56
3.980	6.5666054623e-49	1.3645214139e-56
3.990	6.6762117181e-49	1.3713195421e-56
4.000	6.7873319861e-49	1.3782083527e-56
4.010	6.8999828229e-49	1.3851892624e-56
4.020	7.0141809169e-49	1.3922636675e-56
4.030	7.1299430885e-49	1.3994330314e-56
4.040	7.2472862912e-49	1.4066987882e-56
4.050	7.3662276116e-49	1.4140624585e-56
4.060	7.4867842703e-49	1.4215255176e-56
4.070	7.6089736227e-49	1.4290895111e-56
4.080	7.7328131588e-49	1.4367560014e-56
4.090	7.8583205046e-49	1.4445265562e-56
4.100	7.9855134222e-49	1.4524028068e-56
4.110	8.1144098104e-49	1.4603863618e-56
4.120	8.2450277054e-49	1.4684789088e-56
4.130	8.3773852813e-49	1.4766821412e-56
4.140	8.5115008505e-49	1.4849977655e-56
4.150	8.6473928644e-49	1.4934275509e-56
4.160	8.7850799140e-49	1.5019732857e-56
4.170	8.9245807304e-49	1.5106368040e-56
4.180	9.0659141852e-49	1.5194199387e-56
4.190	9.2090992911e-49	1.5283246059e-56
4.200	9.3541552026e-49	1.5373527162e-56
4.210	9.5011012164e-49	1.5465062902e-56
4.220	9.6499567718e-49	1.5557872895e-56
4.230	9.8007414516e-49	1.5651977978e-56
4.240	9.9534749822e-49	1.5747399020e-56
4.250	1.0108177234e-48	1.5844157743e-56
4.260	1.0264868224e-48	1.5942275725e-56
4.270	1.0423568111e-48	1.6041775870e-56
4.280	1.0584297204e-48	1.6142680541e-56
4.290	1.0747075954e-48	1.6245013910e-56
4.300	1.0911924963e-48	1.6348799567e-56
4.310	1.1078864977e-48	1.6454062508e-56
4.320	1.1247916892e-48	1.6560828033e-56
4.330	1.1419101751e-48	1.6669121503e-56
4.340	1.1592440747e-48	1.6778970577e-56
4.350	1.1767955222e-48	1.6890266630e-56
4.360	1.1945666667e-48	1.7002714858e-56
4.370	1.2125596723e-48	1.7116752141e-56
4.380	1.2307767184e-48	1.7232405299e-56
4.390	1.2492199993e-48	1.7349701457e-56
4.400	1.2678917247e-48	1.7468610306e-56
4.410	1.2867941192e-48	1.7588868554e-56
4.420	1.3059294228e-48	1.7710843879e-56
4.430	1.3252998910e-48	1.7834566715e-56
4.440	1.3449077944e-48	1.7960068090e-56
4.450	1.3647554191e-48	1.8087379653e-56
4.460	1.3848450666e-48	1.8216534633e-56
4.470	1.4051790539e-48	1.8347566276e-56
4.480	1.4257597136e-48	1.8480509686e-56
4.490	1.4465893937e-48	1.8615400037e-56
4.500	1.4676704579e-48	1.8752275110e-56
4.510	1.4890052857e-48	1.8891172209e-56
4.520	1.5105962721e-48	1.9032130759e-56
4.530	1.5324458279e-48	1.9175191482e-56
4.540	1.5545563796e-48	1.9320395647e-56
4.550	1.5769303696e-48	1.9467786911e-56
4.560	1.5995702563e-48	1.9617409486e-56
4.570	1.6224785136e-48	1.9769309672e-56
4.580	1.6456576316e-48	1.9923535410e-56
4.590	1.6691101165e-48	2.0080135846e-56
4.600	1.6928384902e-48	2.0239162039e-56
4.610	1.7168452908e-48	2.0400667458e-56
4.620	1.7411330725e-48	2.0564706243e-56
4.630	1.7657044055e-48	2.0731336464e-56
4.640	1.7905618763e-48	2.0900616546e-56
4.650	1.8157080875e-48	2.1072607960e-56
4.660	1.8411456579e-48	2.1247375387e-56
4.670	1.8668772225e-48	2.1424985050e-56
4.680	1.8929054328e-48	2.1605505260e-56
4.690	1.9192329565e-48	2.1789009072e-56
4.700	1.9458624775e-48	2.1975570582e-56
4.710	1.9727966963e-48	2.2164868314e-56
4.720	2.0000383297e-48	2.2357075975e-56
4.730	2.0275901109e-48	2.2552527733e-56
4.740	2.0554547898e-48	2.2749824686e-56
4.750	2.0836351324e-48	2.2949834569e-56
4.760	2.1121339217e-48	2.3153173811e-56
4.770	2.1409539569e-48	2.3359927542e-56
4.780	2.1700980538e-48	2.3570183813e-56
4.790	2.1995690451e-48	2.3784034396e-56
4.800	2.2293697799e-48	2.3997995192e-56
4.810	2.2595031239e-48	2.4214524500e-56
4.820	2.2899719597e-48	2.4430262141e-56
4.830	2.3207791865e-48	2.4649278669e-56
4.840	2.3519277201e-48	2.4871643811e-56
4.850	2.3834204933e-48	2.5097429456e-56
4.860	2.4152604556e-48	2.5326708975e-56
4.870	2.4474505731e-48	2.5559559898e-56
4.880	2.4799938291e-48	2.5796060857e-56
4.890	2.5128932233e-48	2.6029769358e-56
4.900	2.5461517727e-48	2.6266061584e-56
4.910	2.5797725108e-48	2.6505732848e-56
4.920	2.6137584882e-48	2.6748844512e-56
4.930	2.6481127723e-48	2.6995463063e-56
4.940	2.6828384477e-48	2.7245655456e-56
4.950	2.7179386156e-48	2.7499490344e-56
4.960	2.7534163944e-48	2.7757041652e-56
4.970	2.7892749193e-48	2.8018380076e-56
4.980	2.8255173426e-48	2.8283584084e-56
4.990	2.8621468336e-48	2.8552731861e-56
5.000	2.8991665787e-48	2.8825904843e-56
5.010	2.9365797811e-48	2.9094303850e-56
5.020	2.9743896613e-48	2.9363187763e-56
5.030	3.0125994567e-48	2.9635586782e-56
5.040	3.0512124218e-48	2.9911557599e-56
5.050	3.0902318281e-48	3.0191156782e-56
5.060	3.1296609644e-48	3.0474443302e-56
5.070	3.1695031363e-48	3.0761478392e-56
5.080	3.2097616667e-48	3.1052323033e-56
5.090	3.2504398956e-48	3.1347042589e-56
5.100	3.2915411800e-48	3.1645700974e-56
5.110	3.3330688941e-48	3.1948367762e-56
5.120	3.3750264292e-48	3.2252216391e-56
5.130	3.4174171936e-48	3.2548649031e-56
5.140	3.4602446130e-48	3.2848532209e-56
5.150	3.5035121300e-48	3.3151909491e-56
5.160	3.5472232045e-48	3.3458825859e-56
5.170	3.5913813132e-48	3.3751819447e-56
5.180	3.6359899504e-48	3.4046294526e-56
5.190	3.6810526272e-48	3.4342719465e-56
5.200	3.7265728719e-48	3.4641999753e-56
5.210	3.7725542300e-48	3.4944158572e-56
5.220	3.8190002641e-48	3.5249220467e-56
5.230	3.8659145539e-48	3.5557207861e-56
5.240	3.9133006962e-48	3.5868145733e-56
5.250	3.9611623049e-48	3.6182057625e-56
5.260	4.0095030111e-48	3.6498968672e-56
5.270	4.0583264629e-48	3.6818903010e-56
5.280	4.1076363256e-48	3.7141887459e-56
5.290	4.1574362816e-48	3.7467947484e-56
5.300	4.2077300301e-48	3.7797107524e-56
5.310	4.2585212877e-48	3.8129395331e-56
5.320	4.3098137879e-48	3.8464838473e-56
5.330	4.3616112814e-48	3.8803463602e-56
5.340	4.4139175356e-48	3.9145296619e-56
5.350	4.4667363354e-48	3.9469897264e-56
5.360	4.5200714822e-48	3.9793363404e-56
5.370	4.5739267949e-48	4.0112679553e-56
5.380	4.6283061090e-48	4.0415700860e-56
5.390	4.6832132771e-48	4.0720620885e-56
5.400	4.7386521688e-48	4.1027438241e-56
5.410	4.7946266706e-48	4.1336157587e-56
5.420	4.8511406859e-48	4.1646777867e-56
5.430	4.9081981351e-48	4.1959301476e-56
5.440	4.9658029553e-48	4.2273729228e-56
5.450	5.0239591007e-48	4.2590064141e-56
5.460	5.0826705420e-48	4.2908303575e-56
5.470	5.1419412671e-48	4.3228453085e-56
5.480	5.2017752805e-48	4.3550512382e-56
5.490	5.2621766035e-48	4.3874482763e-56
5.500	5.3231492741e-48	4.4200365041e-56
5.510	5.3846973472e-48	4.4528162467e-56
5.520	5.4468248943e-48	4.4836317848e-56
5.530	5.5095360034e-48	4.5138772330e-56
5.540	5.5728347796e-48	4.5442711929e-56
5.550	5.6367253442e-48	4.5748129837e-56
5.560	5.7012118353e-48	4.6055022157e-56
5.570	5.7662984076e-48	4.6363384886e-56
5.580	5.8319892322e-48	4.6673212088e-56
5.590	5.8982884968e-48	4.6984501521e-56
5.600	5.9652004056e-48	4.7297248203e-56
5.610	6.0327291792e-48	4.7611445445e-56
5.620	6.1008790547e-48	4.7927091725e-56
5.630	6.1696542855e-48	4.8244179753e-56
5.640	6.2390591414e-48	4.8562708651e-56
5.650	6.3090979086e-48	4.8870860508e-56
5.660	6.3797748894e-48	4.9142230285e-56
5.670	6.4510944024e-48	4.9409657994e-56
5.680	6.5230607826e-48	4.9678254293e-56
5.690	6.5956783810e-48	4.9948007861e-56
5.700	6.6689515647e-48	5.0218898467e-56
5.710	6.7428847171e-48	5.0490911771e-56
5.720	6.8174822375e-48	5.0764031835e-56
5.730	6.8927485412e-48	5.1038242431e-56
5.740	6.9686880596e-48	5.1313532224e-56
5.750	7.0453052400e-48	5.1586876823e-56
5.760	7.1226045457e-48	5.1838526039e-56
5.770	7.2005904556e-48	5.2091289860e-56
5.780	7.2792674646e-48	5.2345146023e-56
5.790	7.3586400834e-48	5.2600072814e-56
5.800	7.4387128384e-48	5.2856050607e-56
5.810	7.5194902715e-48	5.3113056453e-56
5.820	7.6009769405e-48	5.3371076497e-56
5.830	7.6831774186e-48	5.3620899791e-56
5.840	7.7660962947e-48	5.3862240685e-56
5.850	7.8497381731e-48	5.4104641616e-56
5.860	7.9341076735e-48	5.4348078832e-56
5.870	8.0192094311e-48	5.4592531403e-56
5.880	8.1050480965e-48	5.4831957154e-56
5.890	8.1916283353e-48	5.5067149621e-56
5.900	8.2789548287e-48	5.5302928140e-56
5.910	8.3670322730e-48	5.5536091364e-56
5.920	8.4558653794e-48	5.5770265896e-56
5.930	8.5454588745e-48	5.6005426054e-56
5.940	8.6358174998e-48	5.6241553812e-56
5.950	8.7269460118e-48	5.6478620502e-56
5.960	8.8188491819e-48	5.6716607892e-56
5.970	8.9115317964e-48	5.6955496173e-56
5.980	9.0049986565e-48	5.7195264641e-56
5.990	9.0992545780e-48	5.7435896045e-56
6.000	9.1943043914e-48	5.7677376002e-56
