cal_S_function with E_thr = 15.0 MeV
T[MeV]	cal_S	cal_S_error
4.350	7.5460798358e-48	4.5719754303e-55
4.360	7.6926903780e-48	4.6548281835e-55
4.370	7.8416832434e-48	4.7389577181e-55
4.380	7.9930892127e-48	4.8243886050e-55
4.390	8.1469393506e-48	4.9111464002e-55
4.400	8.3032650068e-48	4.9992574905e-55
4.410	8.4620978178e-48	5.0887492501e-55
4.420	8.6234697080e-48	5.1796501836e-55
4.430	8.7874128904e-48	5.2719897897e-55
4.440	8.9539598686e-48	5.3657986863e-55
4.450	9.1231434375e-48	5.4611088847e-55
4.460	9.2949966846e-48	5.5579534903e-55
4.470	9.4695529914e-48	5.6563670562e-55
4.480	9.6468460341e-48	5.7563855904e-55
4.490	9.8269097855e-48	5.8580465032e-55
4.500	1.0009778515e-47	5.9613889199e-55
4.510	1.0195486792e-47	6.0664536538e-55
4.520	1.0384069484e-47	6.1732832932e-55
4.530	1.0575561759e-47	6.2819223643e-55
4.540	1.0769999090e-47	6.3924174660e-55
4.550	1.0967417248e-47	6.5048173870e-55
4.560	1.1167852312e-47	6.6191730872e-55
4.570	1.1371340666e-47	6.7355381787e-55
4.580	1.1577918997e-47	6.8539687779e-55
4.590	1.1787624303e-47	6.9745239301e-55
4.600	1.2000493889e-47	7.0972655289e-55
4.610	1.2216565369e-47	7.2222587671e-55
4.620	1.2435876668e-47	7.3495724100e-55
4.630	1.2658466021e-47	7.4786554952e-55
4.640	1.2884371978e-47	7.6101461340e-55
4.650	1.3113633400e-47	7.7428684494e-55
4.660	1.3346289465e-47	7.8774291555e-55
4.670	1.3582379663e-47	8.0144816648e-55
4.680	1.3821943804e-47	8.1516754779e-55
4.690	1.4065022012e-47	8.2904005738e-55
4.700	1.4311654732e-47	8.4280785141e-55
4.710	1.4561882726e-47	8.5678962529e-55
4.720	1.4815747077e-47	8.7100242124e-55
4.730	1.5073289190e-47	8.8545202233e-55
4.740	1.5334550789e-47	9.0014449386e-55
4.750	1.5599573924e-47	9.1508613585e-55
4.760	1.5868400965e-47	9.3028352538e-55
4.770	1.6141074609e-47	9.4528716341e-55
4.780	1.6417637878e-47	9.6039288956e-55
4.790	1.6698134118e-47	9.7573279931e-55
4.800	1.6982607005e-47	9.9131208380e-55
4.810	1.7271100539e-47	1.0071361663e-54
4.820	1.7563659051e-47	1.0232106816e-54
4.830	1.7860327199e-47	1.0395414675e-54
4.840	1.8161149973e-47	1.0561346023e-54
4.850	1.8466172692e-47	1.0729963979e-54
4.860	1.8775441006e-47	1.0901007617e-54
4.870	1.9089000900e-47	1.1066141806e-54
4.880	1.9406898687e-47	1.1233599515e-54
4.890	1.9729181016e-47	1.1403424289e-54
4.900	2.0055894870e-47	1.1575660289e-54
4.910	2.0387087566e-47	1.1750353695e-54
4.920	2.0722806756e-47	1.1927551746e-54
4.930	2.1063100428e-47	1.2107303489e-54
4.940	2.1408016908e-47	1.2287637008e-54
4.950	2.1757604856e-47	1.2463038916e-54
4.960	2.2111913271e-47	1.2640636996e-54
4.970	2.2470991491e-47	1.2820464026e-54
4.980	2.2834889191e-47	1.3002552236e-54
4.990	2.3203656386e-47	1.3182167418e-54
5.000	2.3577343431e-47	1.3355922044e-54
5.010	2.3956001020e-47	1.3531494628e-54
5.020	2.4339680188e-47	1.3708902355e-54
5.030	2.4728432312e-47	1.3888163739e-54
5.040	2.5122309109e-47	1.4069296737e-54
5.050	2.5521362639e-47	1.4252319821e-54
5.060	2.5925645303e-47	1.4437252088e-54
5.070	2.6335209847e-47	1.4624112220e-54
5.080	2.6750109357e-47	1.4812919803e-54
5.090	2.7170397264e-47	1.5003694482e-54
5.100	2.7596127344e-47	1.5196455884e-54
5.110	2.8027353715e-47	1.5391224417e-54
5.120	2.8464130840e-47	1.5588020654e-54
5.130	2.8906513526e-47	1.5777076050e-54
5.140	2.9354556928e-47	1.5962659138e-54
5.150	2.9808316541e-47	1.6149860026e-54
5.160	3.0267848211e-47	1.6326248041e-54
5.170	3.0733208126e-47	1.6500930776e-54
5.180	3.1204452820e-47	1.6676960865e-54
5.190	3.1681639176e-47	1.6854343115e-54
5.200	3.2164824419e-47	1.7033082945e-54
5.210	3.2654066124e-47	1.7213184890e-54
5.220	3.3149422211e-47	1.7394654448e-54
5.230	3.3650950947e-47	1.7577496821e-54
5.240	3.4158710945e-47	1.7761716802e-54
5.250	3.4672761166e-47	1.7947319918e-54
5.260	3.5193160917e-47	1.8134310982e-54
5.270	3.5719969853e-47	1.8311306122e-54
5.280	3.6253247976e-47	1.8483967414e-54
5.290	3.6793055634e-47	1.8657874845e-54
5.300	3.7339453522e-47	1.8833029610e-54
5.310	3.7892502684e-47	1.9009432517e-54
5.320	3.8452264509e-47	1.9187084407e-54
5.330	3.9018800735e-47	1.9365986877e-54
5.340	3.9592173445e-47	1.9546140821e-54
5.350	4.0172445070e-47	1.9727547578e-54
5.360	4.0759678388e-47	1.9910208254e-54
5.370	4.1353936523e-47	2.0094124459e-54
5.380	4.1955282945e-47	2.0265571401e-54
5.390	4.2563781473e-47	2.0423451433e-54
5.400	4.3179496269e-47	2.0580563501e-54
5.410	4.3802491844e-47	2.0739014775e-54
5.420	4.4432833053e-47	2.0898793361e-54
5.430	4.5070585097e-47	2.1059887462e-54
5.440	4.5715813523e-47	2.1222285823e-54
5.450	4.6368584223e-47	2.1385978586e-54
5.460	4.7028963435e-47	2.1544331241e-54
5.470	4.7697017739e-47	2.1696985427e-54
5.480	4.8372814063e-47	2.1851063574e-54
5.490	4.9056419676e-47	2.2006546188e-54
5.500	4.9747902192e-47	2.2163415261e-54
5.510	5.0447329570e-47	2.2321654327e-54
5.520	5.1154770109e-47	2.2477828926e-54
5.530	5.1870292454e-47	2.2628742877e-54
5.540	5.2593965589e-47	2.2781126690e-54
5.550	5.3325858842e-47	2.2934957614e-54
5.560	5.4066041883e-47	2.3088215437e-54
5.570	5.4814584722e-47	2.3238925564e-54
5.580	5.5571557709e-47	2.3390312231e-54
5.590	5.6337031536e-47	2.3541831084e-54
5.600	5.7111077233e-47	2.3694810784e-54
5.610	5.7893766170e-47	2.3849211239e-54
5.620	5.8685170055e-47	2.4005035654e-54
5.630	5.9485360935e-47	2.4162262544e-54
5.640	6.0294411194e-47	2.4320871816e-54
5.650	6.1112393554e-47	2.4480844409e-54
5.660	6.1939381070e-47	2.4642162070e-54
5.670	6.2775447138e-47	2.4804808028e-54
5.680	6.3620665484e-47	2.4968765771e-54
5.690	6.4475110173e-47	2.5134020050e-54
5.700	6.5338855601e-47	2.5300556949e-54
5.710	6.6211976498e-47	2.5468362404e-54
5.720	6.7094547927e-47	2.5637423645e-54
5.730	6.7986645283e-47	2.5807728450e-54
5.740	6.8888344291e-47	2.5979265539e-54
5.750	6.9799721007e-47	2.6148123684e-54
5.760	7.0720851818e-47	2.6314116494e-54
5.770	7.1651813437e-47	2.6481403853e-54
5.780	7.2592682909e-47	2.6649971599e-54
5.790	7.3543537603e-47	2.6819806433e-54
5.800	7.4504455217e-47	2.6990894557e-54
5.810	7.5475513773e-47	2.7163224475e-54
5.820	7.6456791618e-47	2.7336785005e-54
5.830	7.7448367426e-47	2.7511564842e-54
5.840	7.8450320189e-47	2.7687554167e-54
5.850	7.9462729227e-47	2.7864744000e-54
5.860	8.0485674177e-47	2.8043125802e-54
5.870	8.1519235000e-47	2.8222690819e-54
5.880	8.2563491973e-47	2.8403432633e-54
5.890	8.3618525696e-47	2.8585343528e-54
5.900	8.4684417082e-47	2.8768417860e-54
5.910	8.5761247365e-47	2.8952650647e-54
5.920	8.6849098092e-47	2.9138035953e-54
5.930	8.7948051127e-47	2.9324570177e-54
5.940	8.9058188646e-47	2.9512250136e-54
5.950	9.0179593139e-47	2.9701072723e-54
5.960	9.1312347406e-47	2.9891035675e-54
5.970	9.2456534561e-47	3.0082139135e-54
5.980	9.3612238023e-47	3.0274382095e-54
5.990	9.4779541525e-47	3.0467765497e-54
6.000	9.5958529103e-47	3.0662292897e-54
