cal_S_function with E_thr = 4.5 MeV
T[MeV]	cal_S	cal_S_error
5.540	3.9092406592e-47	2.6697007629e-53
5.550	3.9539600455e-47	2.6513879544e-53
5.560	3.9990968233e-47	2.6332314849e-53
5.570	4.0446539102e-47	2.6152294139e-53
5.580	4.0906342356e-47	2.5973798354e-53
5.590	4.1370407403e-47	2.5796808820e-53
5.600	4.1838763770e-47	2.5621307146e-53
5.610	4.2311441097e-47	2.5447275298e-53
5.620	4.2788469142e-47	2.5274695487e-53
5.630	4.3269877778e-47	2.5103550333e-53
5.640	4.3755696993e-47	2.4933822713e-53
5.650	4.4245956890e-47	2.4765495742e-53
5.660	4.4740687688e-47	2.4598552887e-53
5.670	4.5239919718e-47	2.4432978007e-53
5.680	4.5743683427e-47	2.4268755021e-53
5.690	4.6252009377e-47	2.4105868290e-53
5.700	4.6764928243e-47	2.3944302334e-53
5.710	4.7282470812e-47	2.3784042078e-53
5.720	4.7804667986e-47	2.3625060311e-53
5.730	4.8331550780e-47	2.3467337671e-53
5.740	4.8863150321e-47	2.3310875816e-53
5.750	4.9399497849e-47	2.3155660606e-53
5.760	4.9940624715e-47	2.3001678061e-53
5.770	5.0486562383e-47	2.2848914543e-53
5.780	5.1037342428e-47	2.2697356513e-53
5.790	5.1592996537e-47	2.2546990742e-53
5.800	5.2153556506e-47	2.2397804273e-53
5.810	5.2719054244e-47	2.2249784237e-53
5.820	5.3289521768e-47	2.2102918010e-53
5.830	5.3864991207e-47	2.1957193275e-53
5.840	5.4445494799e-47	2.1812597804e-53
5.850	5.5031064889e-47	2.1669119638e-53
5.860	5.5621733935e-47	2.1526746957e-53
5.870	5.6217534500e-47	2.1385468255e-53
5.880	5.6818499258e-47	2.1245272026e-53
5.890	5.7424660988e-47	2.1106147117e-53
5.900	5.8036054112e-47	5.6676826302e-53
5.910	5.8652708590e-47	5.4568179207e-53
5.920	5.9274659027e-47	5.2472951271e-53
5.930	5.9901938631e-47	5.0392684997e-53
5.940	6.0534580716e-47	4.8328910981e-53
5.950	6.1172618704e-47	4.6283148196e-53
5.960	6.1816086119e-47	4.4256906016e-53
5.970	6.2465016592e-47	4.2251684560e-53
5.980	6.3119443858e-47	4.0268976974e-53
5.990	6.3779401756e-47	3.8310270473e-53
6.000	6.4444924229e-47	3.6377048790e-53
