T0	t0/tau	cal_g_function_a	err
6.800000e+00	1.630000e+00	6.2079552879e-06	2.4082211818e-10
6.800000e+00	1.640000e+00	6.2268016946e-06	4.6075220490e-10
6.800000e+00	1.650000e+00	6.2456241527e-06	7.2534083671e-10
6.800000e+00	1.660000e+00	6.2644228673e-06	1.0238191109e-09
6.800000e+00	1.670000e+00	6.2831980406e-06	1.3456211623e-09
6.800000e+00	1.680000e+00	6.3019498724e-06	1.6801779353e-09
6.800000e+00	1.690000e+00	6.3206785598e-06	2.0170512657e-09
6.800000e+00	1.700000e+00	6.3393842975e-06	2.3437590649e-09
6.800000e+00	1.710000e+00	6.3580672775e-06	2.6519865437e-09
6.800000e+00	1.720000e+00	6.3767116038e-06	1.3953008492e-08
6.800000e+00	1.730000e+00	6.3953500221e-06	1.1838592391e-08
6.800000e+00	1.740000e+00	6.4139815563e-06	3.3902799024e-09
6.800000e+00	1.750000e+00	6.4325753787e-06	3.5494662809e-09
6.800000e+00	1.760000e+00	6.4511473682e-06	3.6609338436e-09
6.800000e+00	1.770000e+00	6.4696977030e-06	3.7233578657e-09
6.800000e+00	1.780000e+00	6.4882265589e-06	3.7368593691e-09
6.800000e+00	1.790000e+00	6.5067341098e-06	3.7029460439e-09
6.800000e+00	1.800000e+00	6.5252205272e-06	3.6243719678e-09
6.800000e+00	1.810000e+00	6.5436859807e-06	3.5049807706e-09
6.800000e+00	1.820000e+00	6.5621306377e-06	3.3495018450e-09
6.800000e+00	1.830000e+00	6.5805546638e-06	3.1633509172e-09
6.800000e+00	1.840000e+00	6.5989582224e-06	2.9524199894e-09
6.800000e+00	1.850000e+00	6.6173414749e-06	2.7228537291e-09
6.800000e+00	1.860000e+00	6.6357045810e-06	2.4808446444e-09
6.800000e+00	1.870000e+00	6.6540476985e-06	2.2324363728e-09
6.800000e+00	1.880000e+00	6.6723709830e-06	1.9833485913e-09
6.800000e+00	1.890000e+00	6.6906745887e-06	1.7388229601e-09
6.800000e+00	1.900000e+00	6.7089586676e-06	1.5035041567e-09
6.800000e+00	1.910000e+00	6.7272233702e-06	1.2813371297e-09
6.800000e+00	1.920000e+00	6.7454688453e-06	1.0755008661e-09
6.800000e+00	1.930000e+00	6.7636952396e-06	8.8837984898e-10
6.800000e+00	1.940000e+00	6.7819026985e-06	7.2155309607e-10
6.800000e+00	1.950000e+00	6.8000913656e-06	5.7582186512e-10
6.800000e+00	1.960000e+00	6.8182613828e-06	4.5125060962e-10
6.800000e+00	1.970000e+00	6.8364128904e-06	3.4724433083e-10
6.800000e+00	1.980000e+00	6.8545460271e-06	2.6263562949e-10
6.800000e+00	1.990000e+00	6.8726609303e-06	1.9579399770e-10
6.900000e+00	0.000000e+00	2.5634259892e-06	1.1437954499e-11
6.900000e+00	1.000000e-02	2.6109305874e-06	2.1724357922e-09
6.900000e+00	2.000000e-02	2.6484274573e-06	1.4464288862e-08
6.900000e+00	3.000000e-02	2.6890704096e-06	1.1441057109e-08
6.900000e+00	4.000000e-02	2.7281054525e-06	3.0101950712e-09
6.900000e+00	5.000000e-02	2.7661588502e-06	4.8588620740e-09
6.900000e+00	6.000000e-02	2.8034458392e-06	5.7490274189e-09
6.900000e+00	7.000000e-02	2.8400303376e-06	3.7136507873e-09
6.900000e+00	8.000000e-02	2.8760029174e-06	9.6724166997e-09
6.900000e+00	9.000000e-02	2.9114187820e-06	3.9565413541e-09
6.900000e+00	1.000000e-01	2.9463600326e-06	9.6965736732e-09
6.900000e+00	1.100000e-01	2.9807503439e-06	8.1612767057e-09
6.900000e+00	1.200000e-01	3.0147423005e-06	1.2664468719e-08
6.900000e+00	1.300000e-01	3.0483276509e-06	6.1756666241e-09
6.900000e+00	1.400000e-01	3.0815333454e-06	4.1535556892e-09
6.900000e+00	1.500000e-01	3.1143756048e-06	5.5599868711e-10
6.900000e+00	1.600000e-01	3.1468776495e-06	1.9451218545e-09
6.900000e+00	1.700000e-01	3.1790572927e-06	1.0748989502e-09
6.900000e+00	1.800000e-01	3.2109306580e-06	1.2025299909e-11
6.900000e+00	1.900000e-01	3.2425124014e-06	1.3033952394e-09
6.900000e+00	2.000000e-01	3.2738158857e-06	3.0019860776e-09
6.900000e+00	2.100000e-01	3.3048491356e-06	8.5589880180e-09
6.900000e+00	2.200000e-01	3.3356316774e-06	1.8885966913e-09
6.900000e+00	2.300000e-01	3.3661701070e-06	1.0217718529e-08
6.900000e+00	2.400000e-01	3.3964738259e-06	1.4101719774e-08
6.900000e+00	2.500000e-01	3.4265515955e-06	1.2709970452e-08
6.900000e+00	2.600000e-01	3.4564116308e-06	8.2084458920e-09
6.900000e+00	2.700000e-01	3.4860616488e-06	3.1860664425e-09
6.900000e+00	2.800000e-01	3.5155088985e-06	3.3917499152e-11
6.900000e+00	2.900000e-01	3.5447601871e-06	2.4921100646e-09
6.900000e+00	3.000000e-01	3.5738219101e-06	6.4914740999e-09
6.900000e+00	3.100000e-01	3.6027000827e-06	1.0264835021e-08
6.900000e+00	3.200000e-01	3.6313882982e-06	8.2715958113e-09
6.900000e+00	3.300000e-01	3.6599281329e-06	1.4500034903e-08
6.900000e+00	3.400000e-01	3.6882884256e-06	1.4703231296e-08
6.900000e+00	3.500000e-01	3.7164860504e-06	1.3891764765e-08
6.900000e+00	3.600000e-01	3.7445255635e-06	1.2405206512e-08
6.900000e+00	3.700000e-01	3.7724112960e-06	1.0557511568e-08
6.900000e+00	3.800000e-01	3.8001473704e-06	8.6619504984e-09
6.900000e+00	3.900000e-01	3.8277377151e-06	6.9305739978e-09
6.900000e+00	4.000000e-01	3.8551860774e-06	5.4757501065e-09
6.900000e+00	4.100000e-01	3.8824960359e-06	4.3376563947e-09
6.900000e+00	4.200000e-01	3.9096710114e-06	3.5061709749e-09
6.900000e+00	4.300000e-01	3.9367087136e-06	4.2684283176e-09
6.900000e+00	4.400000e-01	3.9636234045e-06	4.0514580562e-09
6.900000e+00	4.500000e-01	3.9904180929e-06	2.4271526117e-09
6.900000e+00	4.600000e-01	4.0170845325e-06	2.3813245480e-09
6.900000e+00	4.700000e-01	4.0435704721e-06	2.8526357627e-09
6.900000e+00	4.800000e-01	4.0700603313e-06	2.5212489060e-09
